source,target,weight
WOS:000963279800001,WOS:001664643400002,90.0
WOS:000672733000016,WOS:000844452600001,89.0
WOS:000672733000016,WOS:000705920900001,88.0
WOS:000705920900001,WOS:000844452600001,88.0
WOS:001189228000001,WOS:001664643400002,86.0
WOS:000750041800001,WOS:001552619400006,83.0
WOS:000821050600002,WOS:001552619400006,68.0
WOS:000864564000001,WOS:000911176800001,64.0
WOS:001408048300001,WOS:001552619400006,64.0
WOS:000807736400017,WOS:000821050600002,64.0
WOS:000911176800001,WOS:000911298800001,63.0
WOS:001179605700003,WOS:001317064900006,62.0
WOS:000925820400003,WOS:001664643400002,62.0
WOS:001211740600012,WOS:001337016400003,62.0
WOS:001157329800002,WOS:001490479800001,61.0
WOS:000548080200003,WOS:000548091400003,61.0
WOS:001163647900001,WOS:001364001900008,58.0
WOS:001152345800001,WOS:001664643400002,57.0
WOS:000795902300152,WOS:000795902300160,57.0
WOS:001317709200001,WOS:001485922400001,57.0
WOS:001363097900004,WOS:001554662000006,57.0
WOS:001061737500001,WOS:001215701400001,57.0
WOS:001541993500015,WOS:001664643400002,56.0
WOS:000722002600002,WOS:001552619400006,56.0
WOS:000821050600002,WOS:000911298800001,56.0
WOS:000925820400003,WOS:001161682500001,55.0
WOS:001317064900006,WOS:001552619400006,55.0
WOS:000419240700002,WOS:000425170800081,54.0
WOS:000750832600001,WOS:000911176800001,54.0
WOS:000613495900009,WOS:000821050600002,54.0
WOS:000911298800001,WOS:000971627500001,53.0
WOS:000654229200058,WOS:000705920900001,53.0
WOS:000763507800024,WOS:000821050600002,53.0
WOS:000750832600001,WOS:000911298800001,53.0
WOS:000911298800001,WOS:001625323600010,53.0
WOS:000821050600002,WOS:000911176800001,53.0
WOS:001289079800018,WOS:001390465900001,53.0
WOS:001489117000001,WOS:001586159700002,52.0
WOS:001221032200001,WOS:001392841300001,52.0
WOS:001161682500001,WOS:001664643400002,52.0
WOS:000722002600002,WOS:001664643400002,52.0
WOS:001452203700001,WOS:001552619400006,51.0
WOS:000654229200058,WOS:000844452600001,51.0
WOS:001176075200040,WOS:001664643400002,51.0
WOS:000654229200058,WOS:000672733000016,51.0
WOS:001541993500019,WOS:001552619400006,50.0
WOS:000670243100003,WOS:001113881200001,50.0
WOS:001244407100001,WOS:001646503900001,50.0
WOS:001317064900006,WOS:001541993500019,50.0
WOS:001317064900006,WOS:001577664100007,50.0
WOS:000801846600001,WOS:000947217600005,50.0
WOS:000471995800003,WOS:000569032900002,50.0
WOS:001547348400001,WOS:001547549600002,50.0
WOS:000447668400008,WOS:000487979700037,49.0
WOS:000750832600001,WOS:000824301900001,49.0
WOS:001211740600006,WOS:001214252400003,49.0
WOS:000613495900009,WOS:000713018100001,48.0
WOS:001541993500017,WOS:001577664100007,48.0
WOS:000821050600002,WOS:000947217600005,47.0
WOS:000957590800002,WOS:000989581200001,47.0
WOS:000705920900001,WOS:000864564000001,47.0
WOS:000555888300001,WOS:000654229200058,47.0
WOS:001136608300001,WOS:001576948000011,47.0
WOS:000664792900002,WOS:000700529800002,47.0
WOS:000722002600002,WOS:000750041800001,47.0
WOS:000613495900009,WOS:000911176800001,47.0
WOS:000709651000003,WOS:001390465900001,47.0
WOS:001317064900006,WOS:001541993500017,46.0
WOS:000753167300023,WOS:000911176800001,46.0
WOS:001330634100001,WOS:001541993500015,46.0
WOS:001136608300001,WOS:001576892000001,46.0
WOS:000649867300001,WOS:000722002600002,46.0
WOS:000753167300023,WOS:000910992500017,46.0
WOS:000542820800105,WOS:000676144200001,45.0
WOS:000750832600001,WOS:001625323600010,45.0
WOS:000821050600002,WOS:000971627500001,45.0
WOS:000537961100024,WOS:000632644800001,45.0
WOS:001317064900006,WOS:001452203700001,45.0
WOS:000402733200015,WOS:000434043500012,45.0
WOS:000807736400017,WOS:000911176800001,45.0
WOS:000750041100001,WOS:000911298800001,45.0
WOS:001264161500001,WOS:001514307900001,45.0
WOS:001080802300001,WOS:001192892200001,45.0
WOS:000555888300001,WOS:000844452600001,44.0
WOS:000555888300001,WOS:000705920900001,44.0
WOS:000713018100001,WOS:000821050600002,44.0
WOS:000718820400001,WOS:000869965400001,44.0
WOS:000555888300001,WOS:000672733000016,44.0
WOS:000821050600002,WOS:001625323600010,44.0
WOS:001552619400006,WOS:001556904000001,44.0
WOS:001425865300022,WOS:001615936500001,43.0
WOS:000807736400017,WOS:000911298800001,43.0
WOS:000443044600001,WOS:000451348800008,43.0
WOS:000800511500001,WOS:000821050600002,43.0
WOS:001106396900001,WOS:001238577100001,43.0
WOS:001577664100006,WOS:001577664100007,43.0
WOS:000911176800001,WOS:001577664100006,43.0
WOS:000432666900007,WOS:000548080200003,43.0
WOS:001541993500019,WOS:001597346500002,42.0
WOS:000819585200003,WOS:001466685100001,42.0
WOS:000911298800001,WOS:001552619400006,42.0
WOS:001552619400006,WOS:001652356000015,42.0
WOS:000445389500011,WOS:000462810600059,42.0
WOS:000911176800001,WOS:001625323600010,42.0
WOS:000448425800014,WOS:000461826700001,41.0
WOS:000462810600059,WOS:000482833200009,41.0
WOS:000517436800001,WOS:000821050600002,41.0
WOS:000911176800001,WOS:001317064900006,41.0
WOS:000910992500017,WOS:000911176800001,41.0
WOS:001552619400006,WOS:001577664100007,41.0
WOS:000407080100060,WOS:000569032900002,41.0
WOS:001541993500019,WOS:001652356000017,41.0
WOS:000911176800001,WOS:001541993500019,41.0
WOS:000885840300019,WOS:001062717800070,41.0
WOS:000462810600059,WOS:000700529800002,41.0
WOS:000446055500079,WOS:000471995800003,41.0
WOS:001571813100003,WOS:001597346500002,41.0
WOS:000821050600002,WOS:001408048300001,41.0
WOS:000821050600002,WOS:001029286600001,41.0
WOS:001452203700001,WOS:001577664100007,41.0
WOS:001343883400008,WOS:001552619400006,41.0
WOS:001317064900006,WOS:001556904000001,41.0
WOS:000722002600002,WOS:001237552500013,41.0
WOS:000821050600002,WOS:001452203700001,40.0
WOS:000750832600001,WOS:000821050600002,40.0
WOS:000750041100001,WOS:000971627500001,40.0
WOS:000911176800001,WOS:001541993500002,40.0
WOS:000555681100004,WOS:000651823800005,40.0
WOS:001044414200014,WOS:001179605700017,40.0
WOS:000971627500001,WOS:001625323600010,40.0
WOS:001317064900006,WOS:001577664100006,40.0
WOS:000844452600001,WOS:000864564000001,40.0
WOS:000947217600005,WOS:001552619400006,40.0
WOS:000911298800001,WOS:001541993500002,40.0
WOS:000676747600001,WOS:000750832600001,40.0
WOS:000649867300001,WOS:001237552500013,40.0
WOS:001551796900001,WOS:001631592500017,40.0
WOS:001343883400008,WOS:001577664100002,40.0
WOS:000569032900005,WOS:000593390500010,40.0
WOS:000911176800001,WOS:001552619400006,39.0
WOS:000597284800003,WOS:000934324900001,39.0
WOS:000672733000016,WOS:000864564000001,39.0
WOS:000750832600001,WOS:000971627500001,39.0
WOS:000864564000001,WOS:001289079800018,39.0
WOS:000432666900007,WOS:000945315500001,39.0
WOS:000482833200009,WOS:000700529800002,39.0
WOS:000549189300010,WOS:001173676400001,39.0
WOS:001596640500001,WOS:001597346500002,39.0
WOS:000911298800001,WOS:001317064900006,39.0
WOS:000750041800001,WOS:000821050600002,39.0
WOS:000485997600017,WOS:000669752800005,39.0
WOS:000750041800001,WOS:001664643400002,39.0
WOS:000392205600013,WOS:000432666900007,39.0
WOS:000932982200001,WOS:001634636500007,39.0
WOS:000911176800001,WOS:000971627500001,38.0
WOS:000945315500001,WOS:001170111200001,38.0
WOS:000750832600001,WOS:000910992500017,38.0
WOS:000426268500115,WOS:000450862300003,38.0
WOS:000467139000002,WOS:000788253100004,38.0
WOS:001541993500002,WOS:001541993500019,38.0
WOS:000381788200056,WOS:000425231300064,38.0
WOS:001272982100023,WOS:001390465900001,38.0
WOS:001552619400006,WOS:001560275100001,38.0
WOS:000824301900001,WOS:000911298800001,38.0
WOS:000821050600002,WOS:001577664100007,38.0
WOS:000986439900025,WOS:001080802300001,38.0
WOS:001136608300001,WOS:001289079800023,38.0
WOS:001317064900006,WOS:001541993500002,38.0
WOS:001317064900006,WOS:001560275100001,38.0
WOS:001570722300003,WOS:001571813100003,38.0
WOS:000864564000001,WOS:001384044600001,38.0
WOS:000911176800001,WOS:001597346500002,38.0
WOS:001317064900006,WOS:001577664100002,38.0
WOS:001192892200001,WOS:001567655200001,38.0
WOS:000988795800034,WOS:001144930100011,38.0
WOS:001279841400001,WOS:001390465900001,38.0
WOS:001541993500019,WOS:001577664100007,38.0
WOS:000911298800001,WOS:001029286600001,37.0
WOS:001570601300002,WOS:001577664100007,37.0
WOS:001155128500003,WOS:001552619400006,37.0
WOS:000352195500007,WOS:000402733200015,37.0
WOS:000649867300001,WOS:001552619400006,37.0
WOS:001552619400006,WOS:001570601300002,37.0
WOS:001268723600001,WOS:001338053300001,37.0
