community,size,top_nodes,mean_pagerank
14,21,WOS:001552619400006; WOS:001317064900006; WOS:001577664100007; WOS:001541993500019; WOS:000722002600002,0.005502216658260938
15,20,WOS:000821050600002; WOS:000911176800001; WOS:000911298800001; WOS:000750832600001; WOS:000971627500001,0.006091476833950854
9,12,WOS:000864564000001; WOS:000705920900001; WOS:000844452600001; WOS:000672733000016; WOS:000654229200058,0.005285287241248055
0,9,WOS:001664643400002; WOS:001161682500001; WOS:000925820400003; WOS:001541993500015; WOS:000963279800001,0.005122132613535326
30,6,WOS:000432666900007; WOS:000945315500001; WOS:000548080200003; WOS:001170111200001; WOS:000392205600013,0.005405405405405408
21,6,WOS:001136608300001; WOS:000869965400001; WOS:001289079800023; WOS:000718820400001; WOS:001576892000001,0.005405405405405407
33,5,WOS:000700529800002; WOS:000462810600059; WOS:000482833200009; WOS:000445389500011; WOS:000664792900002,0.0054054054054054074
26,5,WOS:001192892200001; WOS:001080802300001; WOS:001015221000001; WOS:000986439900025; WOS:001567655200001,0.0054054054054054074
24,5,WOS:000402733200015; WOS:000434043500012; WOS:000452612200065; WOS:000351874400006; WOS:000352195500007,0.005405405405405408
31,5,WOS:001597346500002; WOS:001571813100003; WOS:001652356000017; WOS:001570722300003; WOS:001596640500001,0.003880589339544106
16,4,WOS:000569032900002; WOS:000471995800003; WOS:000446055500079; WOS:000407080100060,0.0043705275416929664
6,3,WOS:001363097900004; WOS:001186942300012; WOS:001554662000006,0.005405405405405405
44,2,WOS:000450862300003; WOS:000426268500115,0.005405405405405406
43,2,WOS:001634636500007; WOS:000932982200001,0.005405405405405406
52,2,WOS:000449972600090; WOS:000789822500002,0.005405405405405406
51,2,WOS:000691548400002; WOS:001029331500001,0.005405405405405406
34,2,WOS:000461826700001; WOS:000448425800014,0.005405405405405406
35,2,WOS:001062717800070; WOS:000885840300019,0.005405405405405406
50,2,WOS:000745037500102; WOS:000790571300001,0.005405405405405406
36,2,WOS:000555681100004; WOS:000651823800005,0.005405405405405406
49,2,WOS:000988918900001; WOS:000549189300001,0.005405405405405406
37,2,WOS:001179605700017; WOS:001044414200014,0.005405405405405406
38,2,WOS:001631592500017; WOS:001551796900001,0.005405405405405406
45,2,WOS:000788253100004; WOS:000467139000002,0.005405405405405406
39,2,WOS:000569032900005; WOS:000593390500010,0.005405405405405406
40,2,WOS:000597284800003; WOS:000934324900001,0.005405405405405406
41,2,WOS:001173676400001; WOS:000549189300010,0.005405405405405406
42,2,WOS:000669752800005; WOS:000485997600017,0.005405405405405406
32,2,WOS:001466685100001; WOS:000819585200003,0.005405405405405406
48,2,WOS:001338053300001; WOS:001268723600001,0.005405405405405406
47,2,WOS:000988795800034; WOS:001144930100011,0.005405405405405406
46,2,WOS:000425231300064; WOS:000381788200056,0.005405405405405406
27,2,WOS:001615936500001; WOS:001425865300022,0.005405405405405406
29,2,WOS:001238577100001; WOS:001106396900001,0.005405405405405406
12,2,WOS:001113881200001; WOS:000670243100003,0.005405405405405406
2,2,WOS:001490479800001; WOS:001157329800002,0.005405405405405406
3,2,WOS:001364001900008; WOS:001163647900001,0.005405405405405406
4,2,WOS:000795902300160; WOS:000795902300152,0.005405405405405406
5,2,WOS:001485922400001; WOS:001317709200001,0.005405405405405406
7,2,WOS:001215701400001; WOS:001061737500001,0.005405405405405406
8,2,WOS:000425170800081; WOS:000419240700002,0.005405405405405406
10,2,WOS:001586159700002; WOS:001489117000001,0.005405405405405406
11,2,WOS:001392841300001; WOS:001221032200001,0.005405405405405406
13,2,WOS:001646503900001; WOS:001244407100001,0.005405405405405406
28,2,WOS:000451348800008; WOS:000443044600001,0.005405405405405406
17,2,WOS:001547348400001; WOS:001547549600002,0.005405405405405406
18,2,WOS:000447668400008; WOS:000487979700037,0.005405405405405405
19,2,WOS:001214252400003; WOS:001211740600006,0.005405405405405405
20,2,WOS:000989581200001; WOS:000957590800002,0.005405405405405406
22,2,WOS:000676144200001; WOS:000542820800105,0.005405405405405406
23,2,WOS:000632644800001; WOS:000537961100024,0.005405405405405406
25,2,WOS:001264161500001; WOS:001514307900001,0.005405405405405406
1,2,WOS:001337016400003; WOS:001211740600012,0.005405405405405406
53,2,WOS:001226392700001; WOS:001478445200001,0.005405405405405406
