community,size,top_nodes,mean_pagerank
23,14,"Zhang, Y.; Xiang, S.; Hao, Y.; Guo, X.; Wang, Y.",0.007095576289406601
3,11,"Pleros, N.; Tsakyridis, A.; Passalis, N.; Tefas, A.; Moralis-Pegios, M.",0.007142857142857145
0,10,"Shastri, B.; Prucnal, P.; de Lima, T.; Tait, A.; Peng, H.",0.007223054662173203
1,9,"Chen, R.; Gu, J.; Feng, C.; Pan, D.; Zhao, Z.",0.0071428571428571435
4,8,"Pernice, W.; Bhaskaran, H.; Li, X.; Wright, C.; Feldmann, J.",0.006809381920647999
2,7,"Zhang, X.; Zhou, H.; Dong, J.; Zhang, W.; Wu, B.",0.007503965504688595
15,7,"Beausoleil, R.; Tossoun, B.; Cheung, S.; Liang, D.; Xiao, X.",0.00714285714285714
7,7,"Sorger, V.; Dalir, H.; Heidari, E.; Peserico, N.; Jahannia, B.",0.0071428571428571435
26,7,"Huang, Y.; Fu, T.; Yang, S.; Chen, H.; Li, N.",0.007142857142857143
21,4,"Xu, X.; Moss, D.; Morandotti, R.; Mitchell, A.",0.007142857142857141
6,4,"Bienstman, P.; Sackesyn, S.; Dambre, J.; Katumba, A.",0.007142857142857143
9,4,"Sludds, A.; Englund, D.; Hamerly, R.; Bernstein, L.",0.007142857142857141
18,4,"Xie, Y.; Dai, D.; Jiang, X.; Ye, Y.",0.007142857142857145
17,3,"Xu, K.; Zhang, T.; Dai, J.",0.007142857142857138
28,3,"Hurtado, A.; Hejda, M.; Robertson, J.",0.007142857142857143
14,3,"Lu, L.; Chen, G.; Zhu, L.",0.007142857142857143
11,3,"Nikdast, M.; Shafiee, A.; Pasricha, S.",0.007142857142857143
10,3,"Sarantoglou, G.; Mesaritakis, C.; Bogris, A.",0.007142857142857139
8,3,"Hu, X.; Liao, K.; Gong, Q.",0.007142857142857143
24,2,"Fang, L.; Zhou, T.",0.007142857142857143
27,2,"Liboiron-Ladouceur, O.; Mojaver, K.",0.007142857142857143
30,2,"Kanno, K.; Uchida, A.",0.007142857142857143
25,2,"Minasian, R.; Yi, X.",0.007142857142857143
29,2,"Lin, H.; Li, L.",0.007142857142857143
16,2,"Shinya, A.; Notomi, M.",0.007142857142857143
22,2,"Andriolli, N.; De Marinis, L.",0.007142857142857143
20,2,"Mengu, D.; Ozcan, A.",0.007142857142857143
19,2,"Tian, Y.; Xiao, H.",0.007142857142857143
13,2,"Yan, L.; Song, K.",0.007142857142857143
12,2,"Zoiros, K.; Kotb, A.",0.007142857142857143
5,2,"Swarnakar, S.; Kumar, S.",0.007142857142857143
31,2,"Olyaee, S.; Seifouri, M.",0.007142857142857143
