source,target,weight
Feldmann_2021_NATURE,Shen_2017_NAT PHOTONICS,466.0
Lin_2018_SCIENCE,Shen_2017_NAT PHOTONICS,459.0
Feldmann_2019_NATURE,Shen_2017_NAT PHOTONICS,367.0
Shen_2017_NAT PHOTONICS,Xu_2021_NATURE,366.0
Shastri_2021_NAT PHOTONICS,Shen_2017_NAT PHOTONICS,362.0
Shen_2017_NAT PHOTONICS,Tait_2017_SCI REP-UK,344.0
Feldmann_2021_NATURE,Xu_2021_NATURE,335.0
Feldmann_2021_NATURE,Shastri_2021_NAT PHOTONICS,274.0
Shen_2017_NAT PHOTONICS,Zhang_2021_NAT COMMUN,271.0
Feldmann_2021_NATURE,Lin_2018_SCIENCE,271.0
Feldmann_2019_NATURE,Feldmann_2021_NATURE,256.0
Feldmann_2019_NATURE,Lin_2018_SCIENCE,251.0
LeCun_2015_NATURE,Shen_2017_NAT PHOTONICS,244.0
Lin_2018_SCIENCE,Xu_2021_NATURE,240.0
Clements_2016_OPTICA,Shen_2017_NAT PHOTONICS,227.0
Hughes_2018_OPTICA,Shen_2017_NAT PHOTONICS,226.0
RECK_1994_PHYS REV LETT,Shen_2017_NAT PHOTONICS,222.0
Ashtiani_2022_NATURE,Shen_2017_NAT PHOTONICS,219.0
Lin_2018_SCIENCE,Zhou_2021_NAT PHOTONICS,218.0
Clements_2016_OPTICA,RECK_1994_PHYS REV LETT,216.0
Shastri_2021_NAT PHOTONICS,Xu_2021_NATURE,208.0
Feldmann_2019_NATURE,Shastri_2021_NAT PHOTONICS,204.0
Shen_2017_NAT PHOTONICS,Wetzstein_2020_NATURE,202.0
Feldmann_2021_NATURE,Tait_2017_SCI REP-UK,201.0
Shen_2017_NAT PHOTONICS,Zhou_2021_NAT PHOTONICS,198.0
Shen_2017_NAT PHOTONICS,Zhou_2022_LIGHT-SCI APPL,194.0
Feldmann_2019_NATURE,Xu_2021_NATURE,194.0
Feldmann_2021_NATURE,Zhang_2021_NAT COMMUN,188.0
Ashtiani_2022_NATURE,Feldmann_2021_NATURE,184.0
Hamerly_2019_PHYS REV X,Shen_2017_NAT PHOTONICS,184.0
LeCun_2015_NATURE,Lin_2018_SCIENCE,182.0
Lin_2018_SCIENCE,Shastri_2021_NAT PHOTONICS,177.0
Shen_2017_NAT PHOTONICS,Tait_2014_J LIGHTWAVE TECHNOL,174.0
Feldmann_2019_NATURE,Tait_2017_SCI REP-UK,173.0
Feldmann_2021_NATURE,Zhou_2021_NAT PHOTONICS,173.0
Lin_2018_SCIENCE,Wetzstein_2020_NATURE,171.0
Chang_2018_SCI REP-UK,Lin_2018_SCIENCE,165.0
Lin_2018_SCIENCE,Tait_2017_SCI REP-UK,165.0
Shastri_2021_NAT PHOTONICS,Tait_2017_SCI REP-UK,164.0
Shen_2017_NAT PHOTONICS,Zuo_2019_OPTICA,163.0
Lin_2018_SCIENCE,Zuo_2019_OPTICA,163.0
Shen_2017_NAT PHOTONICS,Williamson_2020_IEEE J SEL TOP QUANT,162.0
Feldmann_2021_NATURE,Wetzstein_2020_NATURE,155.0
Xu_2021_NATURE,Zhou_2021_NAT PHOTONICS,151.0
Xu_2021_NATURE,Zhang_2021_NAT COMMUN,150.0
Shastri_2021_NAT PHOTONICS,Wetzstein_2020_NATURE,150.0
Bogaerts_2020_NATURE,Shen_2017_NAT PHOTONICS,149.0
Lin_2018_SCIENCE,Yan_2019_PHYS REV LETT,149.0
Feldmann_2021_NATURE,Zhou_2022_LIGHT-SCI APPL,149.0
Ashtiani_2022_NATURE,Xu_2021_NATURE,149.0
Tait_2017_SCI REP-UK,Xu_2021_NATURE,148.0
Shastri_2021_NAT PHOTONICS,Zhang_2021_NAT COMMUN,147.0
Hughes_2018_OPTICA,Lin_2018_SCIENCE,142.0
Feldmann_2021_NATURE,LeCun_2015_NATURE,141.0
Shen_2017_NAT PHOTONICS,Tait_2019_PHYS REV APPL,140.0
Chang_2018_SCI REP-UK,Shen_2017_NAT PHOTONICS,140.0
Shen_2017_NAT PHOTONICS,Wang_2022_NAT COMMUN,139.0
Wetzstein_2020_NATURE,Xu_2021_NATURE,138.0
Lin_2018_SCIENCE,Zhang_2021_NAT COMMUN,137.0
Shen_2017_NAT PHOTONICS,Zhu_2022_NAT COMMUN,136.0
Lecun_1998_P IEEE,Shen_2017_NAT PHOTONICS,135.0
Ashtiani_2022_NATURE,Lin_2018_SCIENCE,134.0
Ashtiani_2022_NATURE,Shastri_2021_NAT PHOTONICS,133.0
Lin_2018_SCIENCE,Wang_2022_NAT COMMUN,132.0
