source,target,weight
"Prucnal, P.","Shastri, B.",53.0
"Chen, R.","Pan, D.",46.0
"Guo, X.","Zhang, Y.",45.0
"Hao, Y.","Xiang, S.",44.0
"Dong, J.","Zhou, H.",41.0
"Dong, J.","Zhang, X.",41.0
"Moralis-Pegios, M.","Pleros, N.",40.0
"Hao, Y.","Zhang, Y.",40.0
"Guo, X.","Xiang, S.",40.0
"Pleros, N.","Tefas, A.",40.0
"Passalis, N.","Tefas, A.",40.0
"Xiang, S.","Zhang, Y.",40.0
"Passalis, N.","Pleros, N.",39.0
"Pleros, N.","Tsakyridis, A.",39.0
"Bhaskaran, H.","Pernice, W.",39.0
"Feng, C.","Pan, D.",38.0
"Chen, R.","Feng, C.",37.0
"Prucnal, P.","de Lima, T.",36.0
"Guo, X.","Hao, Y.",36.0
"Moralis-Pegios, M.","Tsakyridis, A.",34.0
"Shastri, B.","de Lima, T.",34.0
"Shastri, B.","Tait, A.",33.0
"Pernice, W.","Wright, C.",33.0
"Bhaskaran, H.","Wright, C.",33.0
"Zhang, X.","Zhou, H.",33.0
"Gu, J.","Pan, D.",31.0
"Kirtas, M.","Passalis, N.",31.0
"Kirtas, M.","Tefas, A.",30.0
"Prucnal, P.","Tait, A.",30.0
"Feng, C.","Gu, J.",30.0
"Chen, R.","Gu, J.",30.0
"Kirtas, M.","Pleros, N.",30.0
"Pan, D.","Zhao, Z.",29.0
"Chen, R.","Zhao, Z.",29.0
"Chen, R.","Ying, Z.",28.0
"Han, Y.","Xiang, S.",28.0
"Dong, J.","Wu, B.",27.0
"Tait, A.","de Lima, T.",27.0
"Pan, D.","Ying, Z.",27.0
"Ying, Z.","Zhao, Z.",26.0
"Zhang, W.","Zhang, X.",26.0
"Han, Y.","Hao, Y.",26.0
"Kumar, S.","Swarnakar, S.",25.0
"Han, Y.","Zhang, Y.",25.0
"Bienstman, P.","Dambre, J.",25.0
"Tefas, A.","Tsakyridis, A.",24.0
"Guo, X.","Han, Y.",24.0
"Wu, B.","Zhou, H.",23.0
"Mourgias-Alexandris, G.","Pleros, N.",23.0
"Moralis-Pegios, M.","Tefas, A.",23.0
"Wu, B.","Zhang, X.",23.0
"Passalis, N.","Tsakyridis, A.",23.0
"Kirtas, M.","Moralis-Pegios, M.",22.0
"Dalir, H.","Sorger, V.",22.0
"Mourgias-Alexandris, G.","Tefas, A.",22.0
"Feng, C.","Zhao, Z.",22.0
"Mourgias-Alexandris, G.","Passalis, N.",22.0
"Giamougiannis, G.","Tsakyridis, A.",22.0
"Huang, C.","Shastri, B.",22.0
"Chen, R.","Zhu, H.",22.0
"Huang, C.","Prucnal, P.",22.0
"Giamougiannis, G.","Pleros, N.",22.0
"Moralis-Pegios, M.","Passalis, N.",22.0
"Gong, Q.","Hu, X.",22.0
"Englund, D.","Hamerly, R.",21.0
"Chen, H.","Yang, S.",21.0
"Giamougiannis, G.","Moralis-Pegios, M.",21.0
"Pan, D.","Zhu, H.",21.0
"Feng, C.","Ying, Z.",20.0
"Bogris, A.","Mesaritakis, C.",20.0
"Kirtas, M.","Tsakyridis, A.",20.0
"Nikdast, M.","Pasricha, S.",20.0
"Gu, J.","Zhu, H.",20.0
"Kotb, A.","Zoiros, K.",19.0
"Song, K.","Yan, L.",19.0
"Feng, C.","Zhu, H.",19.0
"Cheng, J.","Dong, J.",19.0
"Pappas, C.","Pleros, N.",18.0
"Lu, L.","Zhu, L.",18.0
"Dong, W.","Zhang, X.",18.0
"Peng, H.","Prucnal, P.",18.0
"Peng, H.","Shastri, B.",18.0
"Cheng, J.","Zhou, H.",18.0
"Song, Z.","Xiang, S.",17.0
"Bhaskaran, H.","Feldmann, J.",17.0
"Beausoleil, R.","Van Vaerenbergh, T.",17.0
"Notomi, M.","Shinya, A.",17.0
"Feldmann, J.","Pernice, W.",17.0
"Miscuglio, M.","Sorger, V.",17.0
"Dalir, H.","Jahannia, B.",16.0
"Nahmias, M.","Shastri, B.",16.0
"Hao, Y.","Song, Z.",16.0
"Bilodeau, S.","Prucnal, P.",16.0
"Brückerhoff-Plückelmann, F.","Pernice, W.",16.0
"Pleros, N.","Totovic, A.",16.0
"Beausoleil, R.","Tossoun, B.",16.0
"Englund, D.","Sludds, A.",16.0
"Pappas, C.","Tsakyridis, A.",16.0
"Cheng, J.","Zhang, X.",16.0
"Peserico, N.","Sorger, V.",16.0
"Xu, K.","Zhang, T.",16.0
"Xie, Y.","Ye, Y.",16.0
"Chen, H.","Huang, Y.",15.0
"Peng, H.","de Lima, T.",15.0
"Chen, H.","Fu, T.",15.0
"Kirtas, M.","Mourgias-Alexandris, G.",15.0
"Nahmias, M.","Prucnal, P.",15.0
"Nahmias, M.","Tait, A.",15.0
"Bilodeau, S.","Shastri, B.",15.0
"Nahmias, M.","de Lima, T.",15.0
"Shi, Y.","Zhang, Y.",15.0
"Feldmann, J.","Wright, C.",15.0
"Moralis-Pegios, M.","Pappas, C.",15.0
"Hamerly, R.","Sludds, A.",15.0
"Gu, J.","Zhao, Z.",14.0
"Moss, D.","Xu, X.",14.0
"Tian, Y.","Xiao, H.",14.0
"Mengu, D.","Ozcan, A.",14.0
"Beausoleil, R.","Cheung, S.",14.0
"El-Ghazawi, T.","Sorger, V.",14.0
"Morandotti, R.","Moss, D.",14.0
"Andriolli, N.","De Marinis, L.",14.0
"Wang, Y.","Yang, J.",14.0
"Beausoleil, R.","Kurczveil, G.",14.0
"Guo, X.","Shi, Y.",14.0
"Pernice, W.","Youngblood, N.",14.0
"Chen, Y.","Wang, Y.",14.0
"Fang, L.","Zhou, T.",14.0
"Li, X.","Zhang, Y.",14.0
"Minasian, R.","Yi, X.",14.0
"Bhaskaran, H.","Youngblood, N.",14.0
"Mesaritakis, C.","Sarantoglou, G.",13.0
"Fu, T.","Yang, S.",13.0
"Morandotti, R.","Xu, X.",13.0
"Huang, Y.","Yang, S.",13.0
"Shi, Y.","Xiang, S.",13.0
"Bienstman, P.","Katumba, A.",13.0
"Cheung, S.","Tossoun, B.",13.0
"Li, N.","Zhou, P.",13.0
"Liboiron-Ladouceur, O.","Mojaver, K.",13.0
"Zhang, Q.","Zhang, Y.",13.0
"Fu, T.","Huang, Y.",13.0
"Huang, C.","de Lima, T.",13.0
"Giamougiannis, G.","Tefas, A.",13.0
"Bienstman, P.","Sackesyn, S.",13.0
"Wright, C.","Youngblood, N.",13.0
"Dong, J.","Zhang, W.",13.0
"Zhang, W.","Zhou, H.",13.0
"Huang, Y.","Yang, Y.",13.0
"Hejda, M.","Hurtado, A.",13.0
"Dabos, G.","Pleros, N.",13.0
"Wang, Y.","Zhang, X.",13.0
"Prucnal, P.","Zhang, W.",13.0
"Tefas, A.","Totovic, A.",13.0
"Bogris, A.","Sarantoglou, G.",13.0
"Shastri, B.","Zhang, W.",13.0
"Chen, X.","Zhang, Y.",12.0
"Hao, Y.","Shi, Y.",12.0
"Bernstein, L.","Englund, D.",12.0
"Moralis-Pegios, M.","Mourgias-Alexandris, G.",12.0
"Nikdast, M.","Shafiee, A.",12.0
"Chen, R.","Wang, Z.",12.0
"Liu, Y.","Zhang, Y.",12.0
"Mourgias-Alexandris, G.","Tsakyridis, A.",12.0
"Li, X.","Pernice, W.",12.0
"Li, L.","Lin, H.",12.0
"Chen, Y.","Zhang, Y.",12.0
"Song, Z.","Zhang, Y.",12.0
"Dai, D.","Xie, Y.",12.0
"Dai, J.","Xu, K.",12.0
"Su, Y.","Zhang, Y.",12.0
"Beausoleil, R.","Liang, D.",12.0
"Wang, Y.","Zhang, Y.",12.0
"Kanno, K.","Uchida, A.",12.0
"Giamougiannis, G.","Passalis, N.",12.0
"Bhaskaran, H.","Li, X.",12.0
"Beausoleil, R.","Xiao, X.",12.0
"Bernstein, L.","Sludds, A.",12.0
"Olyaee, S.","Seifouri, M.",12.0
"Wang, Z.","Zhang, H.",12.0
"Dambre, J.","Sackesyn, S.",12.0
"Dalir, H.","Heidari, E.",12.0
"Bernstein, L.","Hamerly, R.",12.0
"Chen, G.","Lu, L.",12.0
"Totovic, A.","Tsakyridis, A.",12.0
"Chrostowski, L.","Shastri, B.",12.0
"Gu, J.","Ying, Z.",12.0
"Jiang, X.","Xie, Y.",12.0
"Hu, X.","Liao, K.",12.0
"Giamougiannis, G.","Kirtas, M.",12.0
"Huang, C.","Tait, A.",12.0
"Huang, Y.","Li, N.",12.0
"Shastri, B.","Shekhar, S.",12.0
"Peng, H.","Tait, A.",12.0
"Passalis, N.","Totovic, A.",12.0
"Hurtado, A.","Robertson, J.",12.0
"Li, X.","Li, Y.",12.0
"Huang, Y.","Zhou, P.",12.0
"Dai, J.","Zhang, T.",12.0
"Mitchell, A.","Xu, X.",12.0
