node,degree,weighted_degree,betweenness,pagerank,closeness,community
WOS:001552619400006,19,902.0,0.056426704680446665,0.024096405034112554,7.861267877069936,14
WOS:000821050600002,19,888.0,0.04033024471370872,0.023201956399116003,7.8097684196147465,15
WOS:000911176800001,16,735.0,0.05874316939890711,0.018261272985842583,7.823494636377769,15
WOS:001317064900006,13,583.0,0.014670943216916133,0.015266570207118853,6.892241502289039,14
WOS:000911298800001,12,562.0,0.008731290092658588,0.013680440014031096,7.164094462000395,15
WOS:000750832600001,10,432.0,0.005939653124257543,0.01119038793564309,6.25698619599555,15
WOS:001664643400002,9,545.0,0.031004989308624376,0.018772706259943407,5.095329073855249,0
WOS:001577664100007,8,336.0,0.0001781895937277263,0.008784536690172071,6.011430718083449,14
WOS:001541993500019,7,300.0,0.010513186029935851,0.008323810762171896,6.640907499530447,14
WOS:000864564000001,6,267.0,0.040627227369921595,0.007694348400204458,6.435145256843857,9
WOS:000971627500001,6,255.0,0.0,0.006463164578268707,5.9995729688384225,15
WOS:001597346500002,5,197.0,0.012057495842242813,0.007465123341466095,5.593608733472401,31
WOS:000705920900001,5,320.0,0.007840342124019958,0.007419416583384148,4.885608264500946,9
WOS:000844452600001,5,312.0,0.0,0.007228247278262094,4.67434410448669,9
WOS:000722002600002,5,242.0,0.026490852934188645,0.007332463821782749,6.294456612059427,14
WOS:000672733000016,5,311.0,0.0,0.007204007881811857,4.6398877572848845,9
WOS:001625323600010,5,224.0,0.0,0.005624162194868702,6.040058135321125,15
WOS:000613495900009,4,186.0,0.015680684248039915,0.0058393194056415385,6.4331857083263415,15
WOS:000654229200058,4,202.0,0.0,0.004838503166449219,3.968110129790926,9
WOS:000555888300001,4,179.0,0.0,0.004367612473853539,3.8174755719177758,9
WOS:000750041800001,4,208.0,0.009087669280114041,0.005914022070217842,6.7058238062398186,14
WOS:001541993500002,4,156.0,0.0,0.004225183224444738,5.665886300215345,14
WOS:001390465900001,4,176.0,0.012116892373485389,0.01012220703746035,3.8644891595486697,9
WOS:000807736400017,4,189.0,0.0,0.00488688736360622,6.404333254311684,15
WOS:001452203700001,4,177.0,0.0,0.004769998356571213,5.97142608943367,14
WOS:001136608300001,3,131.0,0.000415775718698028,0.009435822735051618,0.6836396426763012,21
WOS:000700529800002,3,127.0,0.0001781895937277263,0.007880884773850962,0.7276231614348148,33
WOS:000713018100001,3,129.0,0.0,0.003883566131848302,5.5451199821372965,15
WOS:001541993500017,3,131.0,0.0,0.0037415507016920774,5.391098039242716,14
WOS:000910992500017,3,125.0,0.0,0.003772284733748363,5.326065298267631,15
WOS:000569032900002,3,128.0,0.012057495842242813,0.006545942843374118,4.558254841892223,16
WOS:000649867300001,3,123.0,0.0,0.004094317978791614,5.351033853381394,14
WOS:000947217600005,3,137.0,0.0,0.004196367020736605,5.835997821277413,15
WOS:000432666900007,3,121.0,0.0004751722499406035,0.00855501818472012,0.8177822659718482,30
WOS:001192892200001,3,120.0,0.00029698265621287717,0.009790189286617769,0.7006799707634721,26
WOS:000462810600059,3,124.0,0.0001781895937277263,0.0077615822532337555,0.7353191025425538,33
WOS:001577664100006,3,126.0,0.0,0.0035647934215853163,5.699584092860976,14
WOS:001237552500013,2,81.0,0.0,0.002998504267828183,4.519321793255526,14
WOS:000482833200009,2,80.0,0.0,0.0050492880797094655,0.5990859478358805,33
WOS:000801846600001,2,87.0,0.0,0.00293433546089386,5.075896877289752,15
WOS:001571813100003,2,79.0,0.004098360655737705,0.004322987762289939,4.164249195128698,31
WOS:000471995800003,2,91.0,0.004098360655737705,0.00544647088196546,3.7078156334869883,16
WOS:001029286600001,2,78.0,0.0,0.0024869507299700886,5.323946268789046,15
WOS:000824301900001,2,87.0,0.0,0.002675957405584831,4.969763064808839,15
WOS:001343883400008,2,81.0,0.0,0.0030157071786706307,5.2979141654387085,14
WOS:000945315500001,2,77.0,0.00023758612497030174,0.005973801563320453,0.6249002998066158,30
WOS:000402733200015,2,82.0,0.0001781895937277263,0.00689117019200646,0.4975347377857462,24
WOS:001577664100002,2,78.0,0.0,0.0029224735047314737,4.725286200129105,14
WOS:001556904000001,2,85.0,0.0,0.002722520251836249,5.471874124968514,14
WOS:000869965400001,2,81.0,0.00023758612497030174,0.006327822280625393,0.5374619644486117,21
WOS:001560275100001,2,76.0,0.0,0.0025195017313399564,5.238097285887084,14
WOS:000750041100001,2,85.0,0.0,0.002603662214083119,5.08753065072562,15
WOS:000753167300023,2,92.0,0.0,0.002962211577120933,5.457598660634559,15
WOS:000434043500012,2,82.0,0.00023758612497030174,0.006750564648594078,0.5700102704553234,24
WOS:001080802300001,2,83.0,0.0001781895937277263,0.006910862714453955,0.5942686466228971,26
WOS:001652356000017,2,78.0,0.0,0.002969532137347593,4.748400829608972,31
WOS:001363097900004,2,94.0,5.9396531242575434e-05,0.007881822507838502,0.48774283071230345,6
WOS:000452612200065,2,74.0,0.0001781895937277263,0.006396057721237456,0.48422277155736504,24
