node,degree,weighted_degree,betweenness,pagerank,closeness,community
Shen_2017_NAT PHOTONICS,52,8552.0,0.8625,0.1620244311809762,104.81150855415503,0
Lin_2018_SCIENCE,30,4498.0,0.1745192307692308,0.07710774506908159,90.32457812474438,1
Feldmann_2021_NATURE,29,4442.0,0.0028846153846153848,0.06812632095344047,87.77015871662876,2
Feldmann_2019_NATURE,21,2956.0,0.0,0.0448109412563926,82.56793588851599,2
Xu_2021_NATURE,20,3071.0,0.0,0.045673736443014604,82.71043823049195,2
Shastri_2021_NAT PHOTONICS,18,2665.0,0.0,0.0400132857031052,81.41217337273515,2
Tait_2017_SCI REP-UK,14,1936.0,0.0,0.02931037764398222,80.05560550598183,2
Ashtiani_2022_NATURE,11,1394.0,0.0,0.021333597432243077,70.70571758022199,2
Zhou_2021_NAT PHOTONICS,11,1419.0,0.0,0.021769211888966147,70.08376887871988,2
Zhang_2021_NAT COMMUN,11,1511.0,0.0,0.023199023423703412,75.305612480184,2
Hughes_2018_OPTICA,9,1036.0,0.0,0.01688593211922452,71.25694056008206,0
LeCun_2015_NATURE,9,1163.0,0.0,0.01838617957302825,73.46145600575787,2
Zhou_2022_LIGHT-SCI APPL,9,1032.0,0.0,0.01634390211044918,67.7302813651552,2
Wetzstein_2020_NATURE,8,1102.0,0.0,0.017442988628852206,69.5276070729666,2
Brunner_2013_NAT COMMUN,8,804.0,0.05384615384615385,0.019442175102922746,58.62762055569914,3
Clements_2016_OPTICA,7,912.0,0.0,0.015408600380327877,71.7162930261921,0
Appeltant_2011_NAT COMMUN,7,740.0,0.0028846153846153848,0.018615988762356737,41.84870301725904,3
Wang_2022_NAT COMMUN,7,758.0,0.0,0.01272357789038424,60.33238685068051,2
RECK_1994_PHYS REV LETT,6,809.0,0.0,0.01400299544598478,71.20186535135711,0
Paquot_2012_SCI REP-UK,6,594.0,0.0,0.015247308850623358,39.11707177192271,3
Larger_2012_OPT EXPRESS,6,577.0,0.0,0.014831571790038923,39.67665277396377,3
Vandoorne_2014_NAT COMMUN,6,633.0,0.1076923076923077,0.015319599744425604,63.04149610911274,3
Tait_2019_PHYS REV APPL,5,520.0,0.0,0.009426083771952766,59.54658785017624,2
Tait_2014_J LIGHTWAVE TECHNOL,5,573.0,0.0,0.010217619445472514,65.03476382448628,2
Jaeger_2004_SCIENCE,5,424.0,0.0,0.011549346451481075,35.47838219781445,3
Williamson_2020_IEEE J SEL TOP QUANT,5,497.0,0.0,0.009346831308756045,63.256518069791234,0
Zuo_2019_OPTICA,5,619.0,0.0,0.01103916715494169,64.53711799555951,1
Hamerly_2019_PHYS REV X,5,593.0,0.0,0.01070888792766297,66.40438094362152,0
Zhu_2022_NAT COMMUN,4,432.0,0.0,0.008435137367161621,58.799710884391935,1
Duport_2012_OPT EXPRESS,4,344.0,0.0,0.009643713283628784,34.13240125895527,3
