node,degree,weighted_degree,betweenness,pagerank,closeness,community
"Zhang, Y.",13,264.0,0.04910853925555208,0.02356816170891709,1.5117033403650308,23
"Shastri, B.",10,228.0,0.017099363987071212,0.017201281462979237,1.1069476712590791,0
"Pleros, N.",10,280.0,0.002606610363882807,0.013901168150535511,1.7189446892700497,3
"Tsakyridis, A.",9,202.0,0.0,0.009813473178854242,1.3005509689987738,3
"Prucnal, P.",8,203.0,0.009696590553644042,0.014259465938645875,1.1023511577762397,0
"Passalis, N.",8,201.0,0.0,0.00956977528147148,1.2951494239440795,3
"Tefas, A.",8,205.0,0.0,0.009751039576359307,1.3229844286864643,3
"Moralis-Pegios, M.",8,189.0,0.0,0.009139267890083843,1.2824281608843204,3
"Zhang, X.",7,170.0,0.04285267438223334,0.013576593082405651,1.4339328623301715,2
"Kirtas, M.",7,160.0,0.0,0.007715084624283465,1.1332866191454605,3
"Chen, R.",7,204.0,0.001563966218329684,0.011966994660292976,1.0283205884730358,1
"Gu, J.",6,137.0,0.0,0.00768958437041042,0.765625356929664,1
"de Lima, T.",6,140.0,0.0,0.009884877151317948,1.0055164850374325,0
"Huang, Y.",6,78.0,0.001146908560108435,0.013602958890813246,0.5580507969315156,26
"Beausoleil, R.",6,85.0,0.0014597018037743718,0.020616855615020174,0.601124301696392,15
"Mourgias-Alexandris, G.",6,106.0,0.0,0.005425393391549639,0.9554137776042364,3
"Tait, A.",6,129.0,0.0,0.009184242507627756,0.9952848245928537,0
"Feng, C.",6,166.0,0.0,0.009116492644210104,0.8545243165467626,1
"Giamougiannis, G.",6,102.0,0.0,0.005274527934980849,0.9233556794216916,3
"Pernice, W.",6,131.0,0.009071004066312168,0.013273488234722785,0.9627404018523692,4
"Xiang, S.",6,182.0,0.00031279324366593683,0.013539886257107702,1.3572613147898314,23
"Hao, Y.",6,174.0,0.0,0.012993586437154406,1.3544985658258157,23
"Pan, D.",6,192.0,0.00010426441455531227,0.01041651728630337,0.9340709065074657,1
"Guo, X.",5,159.0,0.0,0.011900768525837924,1.3681936757635398,23
"Bhaskaran, H.",5,115.0,0.005213220727765614,0.011294576744284383,0.9604581129058566,4
"Zhou, H.",5,128.0,0.0,0.009650478233569328,1.2564524890404514,2
