node,degree,weighted_degree,betweenness,pagerank,closeness,community
design,53,1386.0,0.5994051704415466,0.13263134184828884,12.587393617365835,2
logic gates,25,633.0,0.037977579501258296,0.05372545418453213,11.07814339122913,2
photonics,23,494.0,0.2306108442004118,0.059215689503896926,11.149620283540921,0
optical computing,22,438.0,0.1215968885838481,0.04857758242299312,11.153628149907439,0
photonic crystal,22,623.0,0.05788149164950812,0.051535937178277466,11.224760654390899,2
optical,18,376.0,0.09094028826355526,0.04185047760200141,10.381141358493915,0
silicon photonics,12,241.0,0.08647906657515443,0.028147186848238036,9.779208928385446,0
xor,11,264.0,0.001601464195836193,0.022608599876842685,10.01864893303334,2
realization,10,252.0,0.0,0.020297126421464085,9.582629681300277,2
proposal,8,196.0,0.0,0.01609034509773534,9.525688147245944,2
nor,8,183.0,0.0,0.015025343174763768,9.132580243571143,2
nand,7,131.0,0.0,0.011594451679076436,8.228409246014676,2
silicon,6,137.0,0.003202928391672386,0.015047995016596611,9.173970043865742,0
photonic crystals,6,135.0,0.0,0.012018573468180214,9.720816925060678,2
kerr effect,6,125.0,0.0,0.010789536824548054,8.49777929295735,2
compact,6,129.0,0.0,0.01243197802937674,9.711505994969253,2
mach-zehnder interferometer,5,106.0,0.0,0.010643040734112588,8.908351902161522,2
self-collimated beams,5,117.0,0.0,0.010173580930021953,8.277031669257482,2
networks,5,96.0,0.018988789750629148,0.011809985224561736,8.568061927901985,0
ring resonator,5,96.0,0.0,0.00863268201004903,8.286314028098836,2
neural networks,4,80.0,0.0,0.009141567240415899,7.685189099017744,0
computing,4,101.0,0.0,0.011048100378751756,8.588658115018678,0
fdtd,4,63.0,0.0,0.00628953098046764,6.980313994309672,2
interference,4,66.0,0.0,0.006441507654602657,7.448646483150536,2
gates,4,72.0,0.0,0.007425730623147269,8.505351664349124,2
optical neural networks,4,62.0,0.0,0.007424467883596961,6.961192190377299,0
contrast ratio,4,66.0,0.0,0.006561138727051581,7.841932286045759,2
machine learning,4,57.0,0.0,0.007169206439131976,6.518919735586734,0
simulation,4,112.0,0.0,0.009881444100472042,9.095233081949198,2
artificial intelligence,3,46.0,0.0,0.005897884275549687,6.710305789043501,0
light,3,49.0,0.018988789750629148,0.0070153957394489515,7.502330915640968,2
gate,3,43.0,0.0,0.00481344203146273,6.7423995527335725,2
all-optical logic gates,3,43.0,0.0,0.004804894202460647,6.550590142880364,2
modulation,3,42.0,0.0,0.005378522920315379,6.217259083872939,0
implementation,3,69.0,0.0,0.00726948781474647,9.276738761970078,2
photonic band gap,3,54.0,0.0,0.0055850669496104125,6.942988745054786,2
neural-networks,3,54.0,0.0,0.006453339461338148,8.085800753005984,2
wave-guides,3,51.0,0.0,0.005409099674785309,7.43749341013483,2
modulator,2,31.0,0.0,0.0042807277843910545,6.783490251364867,0
reservoir computing,2,28.0,0.03752001830244795,0.007138957593925023,5.860088235150802,1
inverse design,2,27.0,0.018988789750629148,0.006735061150027824,5.397701587547613,0
performance,2,28.0,0.018988789750629148,0.009280604237474479,4.122272025964963,1
integrated optics,2,27.0,0.0,0.004128434654116983,6.163372277536691,0
parallel,2,26.0,0.0,0.00384898427640357,6.35976798248808,0
optical waveguides,2,27.0,0.0,0.004243027728308316,6.139583011791164,0
phase-change materials,2,31.0,0.018988789750629148,0.007033179292682469,5.740642297102265,0
photonic,2,30.0,0.0,0.004270210228280313,6.835006005035403,0
amplifier,2,24.0,0.0,0.0035791122755252786,5.841644605541695,2
wave-guide,2,25.0,0.0,0.0034800588993345884,6.087576535459561,2
photonic integrated circuits,2,29.0,0.0,0.004492253660196253,5.95295109393486,0
artificial-intelligence,2,34.0,0.0,0.004937109656172972,6.926006571496243,0
optical imaging,2,29.0,0.0,0.004318334318315303,6.095811944865698,0
optical neural network,2,30.0,0.0,0.004239024633432981,6.535086567748197,0
logic,2,41.0,0.0,0.004996003178974393,8.407970536416409,2
multimode interference,2,33.0,0.0,0.0041836558113646964,7.430683057781159,2
circuits,1,12.0,0.0,0.010526315789473684,0.1276595744680851,7
chaos,1,13.0,0.0,0.010526315789473684,0.13829787234042554,5
synchronization,1,13.0,0.0,0.010526315789473684,0.13829787234042554,5
electro-optic effect,1,13.0,0.0,0.002804530597483558,5.723680990325404,0
neuromorphic computing,1,13.0,0.0,0.0029038445951160468,5.7226253700330645,0
orbital angular-momentum,1,12.0,0.0,0.003039249691971605,4.435854468003207,2
on-chip,1,12.0,0.0,0.010526315789473684,0.1276595744680851,6
system,1,12.0,0.0,0.010526315789473684,0.1276595744680851,6
fabrication,1,16.0,0.0,0.0028803522963351327,6.731630688388105,2
photonic integrated,1,12.0,0.0,0.010526315789473684,0.1276595744680851,7
optics,1,13.0,0.0,0.002804530597483558,5.723680990325404,0
optical interferometry,1,12.0,0.0,0.0027143001590448617,5.30581881133041,0
chip,1,12.0,0.0,0.002555001064356613,5.827900938208208,2
all-optical logic gate,1,12.0,0.0,0.002555001064356613,5.827900938208208,2
adder,1,12.0,0.0,0.002555001064356613,5.827900938208208,2
optical signal processing,1,12.0,0.0,0.0027143001590448617,5.30581881133041,0
transmission,1,12.0,0.0,0.002555001064356613,5.827900938208208,2
demultiplexer,1,12.0,0.0,0.0024446237739564106,5.482106440182758,2
band-gap,1,13.0,0.0,0.0024929773976530107,5.742355117667386,2
resonator,1,13.0,0.0,0.0026363388723512427,6.079013262244696,2
integrated,1,13.0,0.0,0.0029038445951160468,5.7226253700330645,0
training,1,24.0,0.0,0.0040249114792425805,7.365882705943942,0
efficient,1,16.0,0.0,0.0028803522963351327,6.731630688388105,2
memory,1,16.0,0.0,0.004664890238056252,4.110077965393913,0
xor gate,1,17.0,0.0,0.0028053222762628102,6.438714000752621,2
deep learning,1,17.0,0.0,0.00318163312950279,6.464140469396448,0
neurons,1,17.0,0.0,0.0033115052802529677,6.462794088012069,0
